SYMBOL,Market_Cap_Crore
AADHARHFC,21658.4290304
AARTIIND,14159.290368
AAVAS,12764.0969216
ABB,110785.6982016
ABBOTINDIA,62589.8160128
ABCAPITAL,85449.1004928
ABDL,17960.1883136
ABLBL,16104.8281088
ABREL,20226.080768
ABSLAMC,22239.133696
ACC,35324.5626368
ACE,12817.1409408
ACMESOLAR,16758.6742272
ACUTAAS,14489.9801088
ADANIENSOL,116319.8857216
ADANIENT,268676.62848
ADANIGREEN,183470.2471168
ADANIPORTS,311883.6482048
ADANIPOWER,295383.6756992
AEGISLOG,26907.6594688
AEGISVOPAK,29098.9473792
AFCONS,16434.1481472
AFFLE,26275.2305152
AGARWALEYE,15935.012864
AIAENG,30969.298944
AIIL,48278.4444416
AJANTPHARM,32093.4641664
AKZOINDIA,14652.1391104
ALIVUS,10946.5280512
ALKEM,67476.5078528
AMBER,28374.2404608
AMBUJACEM,138026.6278912
ANANDRATHI,25772.924928
ANANTRAJ,22431.1279616
ANGELONE,22579.347456
ANTHEM,39559.0729728
ANURAS,12164.6923776
APARINDS,35075.8076416
APLAPOLLO,49924.3810816
APLLTD,17992.4041728
APOLLOHOSP,111893.21728
APOLLOTYRE,32039.2626176
APTUS,15934.4033792
ARE&M,18361.7847296
ASAHIINDIA,23478.7946496
ASHOKLEY,83553.0457088
ASIANPAINT,249508.3184128
ASTERDM,35525.2535296
ASTRAL,42073.3026304
ASTRAZEN,22956.2499072
ATGL,68242.6499072
ATHERENERG,25023.5977728
ATUL,16959.9238144
AUBANK,65651.5006464
AUROPHARMA,66246.2267392
AWL,35134.5508352
AXISBANK,383216.5957632
AZAD,10704.9107456
BAJAJ-AUTO,247471.9838208
BAJAJFINSV,331720.4516864
BAJAJHFL,91655.5235328
BAJAJHLDNG,148845.0748416
BAJFINANCE,647554.924544
BALKRISIND,45251.6872192
BANCOINDIA,11362.1671936
BANDHANBNK,24698.1132288
BANKBARODA,148081.9605504
BANKINDIA,63814.7428352
BASF,19025.7692672
BATAINDIA,13575.9568896
BAYERCROP,21531.8134784
BBTC,13451.10016
BDL,54452.2436608
BEL,306705.5439872
BELRISE,13716.1981952
BEML,16547.8596608
BERGEPAINT,64071.8733312
BHARATFORG,63093.3553152
BHARTIARTL,1221728.927744
BHARTIHEXA,90695.0017024
BHEL,90551.0518784
BIKAJI,18250.4013824
BIOCON,51427.1281152
BLACKBUCK,12641.1907072
BLS,13149.4125568
BLUEDART,15486.5319936
BLUEJET,10540.0557568
BLUESTARCO,36764.9849344
BOSCHLTD,109185.4532608
BPCL,159635.3282048
BRIGADE,24780.7082496
BRITANNIA,145343.8664704
BSE,99724.9974272
BSOFT,10423.9710208
CAMS,19183.099904
CANBK,126299.7602304
CANFINHOME,11723.4491392
CANHLIFE,11543.4504192
CAPLIPOINT,15525.1982336
CARBORUNIV,17001.5801344
CARTRADE,14154.9961216
CASTROLIND,18964.0441856
CCL,12961.501184
CDSL,32037.6111104
CEATLTD,16154.6633216
CELLO,14596.5826048
CEMPRO,14589.0607104
CENTRALBK,34794.4648704
CENTURYPLY,16809.6088064
CESC,23277.0174976
CGCL,19589.8687488
CGPOWER,115384.2675712
CHALET,20319.1549952
CHAMBLFERT,19419.6176896
CHENNPETRO,14531.518464
CHOICEIN,16992.3231744
CHOLAFIN,142018.609152
CHOLAHLDNG,37040.979968
CIEINDIA,16331.5499008
CIPLA,121286.8460544
CLEAN,10695.1892992
COALINDIA,236723.109888
COCHINSHIP,45312.688128
COFORGE,59477.1836928
COHANCE,28081.7303552
COLPAL,60295.5907072
CONCOR,39762.4246272
CONCORDBIO,14765.531136
COROMANDEL,63347.2811008
CPPLUS,16456.7810048
CRAFTSMAN,16156.1935872
CREDITACC,21966.5432576
CRISIL,35526.7346432
CROMPTON,17936.2480128
CUB,18887.8536704
CUMMINSIND,120342.1052928
CYIENT,12671.8681088
DABUR,92888.1508352
DALBHARAT,39303.938048
DATAPATTNS,14868.5307904
DCMSHRIRAM,19553.7928192
DEEPAKFERT,18040.6468608
DEEPAKNTR,23630.094336
DELHIVERY,33091.1645696
DEVYANI,19488.2240512
DIVISLAB,182735.3001984
DIXON,92702.7625984
DLF,187715.2497664
DMART,265642.2330368
DOMS,15698.5065472
DRREDDY,100334.7443712
ECLERX,21448.2665472
EDELWEISS,10681.716736
EICHERMOT,186687.3044992
EIDPARRY,18920.9182208
EIHOTEL,24473.6262144
ELECON,12339.0533632
ELGIEQUIP,15737.2399616
EMAMILTD,22828.949504
EMBDL,12477.2507648
EMCURE,25761.8624512
ENDURANCE,39858.225152
ENGINERSIN,11197.1811328
ENRIN,113445.7520128
ERIS,21595.2965632
ESCORTS,40595.9213056
ETERNAL,281877.020672
EUREKAFORB,10908.4991488
EXIDEIND,32287.2508416
FACT,57629.8549248
FEDERALBNK,57977.9559424
FINCABLES,11775.5650048
FINEORG,13546.5598976
FINPIPE,11271.2441856
FIRSTCRY,16609.5765504
FIVESTAR,18487.3992192
FLUOROCHEM,40730.6207232
FORCEMOT,23563.1099904
FORTIS,76572.4131328
FSL,24351.9438848
GABRIEL,17695.3573376
GAIL,118445.3623808
GALLANTT,12616.58112
GENUSPOWER,10779.234304
